timestamp,Left_Heel,Left_Middle,Left_Top,Right_Heel,Right_Middle,Right_Top
1734602918.2931373,1650,0,101,0,102,0
1734602918.352862,2687,35,1019,74,107,133
1734602918.4125416,4095,255,2020,436,377,451
1734602918.4720523,4095,0,1979,190,302,251
1734602918.533509,4095,251,2067,28,0,128
1734602918.58385,4095,263,2081,0,46,19
1734602918.6526484,3715,250,1885,2756,2174,18
1734602918.7123146,4095,300,2234,2513,1984,3
1734602918.7722967,4095,338,2288,861,850,0
1734602918.885326,0,3266,160,0,10,3816
1734602918.949449,0,3346,159,0,45,3856
1734602919.0136125,0,3309,162,195,100,338
1734602919.0705676,0,3291,178,262,171,381
1734602919.121563,0,3335,170,0,0,93
1734602919.241628,0,3303,192,85,0,245
1734602919.3057363,0,3344,189,144,0,196
1734602919.3771172,0,3346,192,1237,686,1168
1734602919.433609,0,3342,205,11,263,126
1734602919.4882693,0,3333,214,0,0,65
1734602919.5518155,4095,0,2142,1820,0,1669
1734602919.5995204,4095,345,2343,80,256,211
1734602919.6734369,4095,339,2400,288,125,351
1734602919.7313063,2128,299,885,1168,1127,1035
1734602919.7907917,1745,0,581,0,98,49
1734602919.851897,2969,214,1744,171,295,213
1734602919.9055767,3157,0,1702,64,178,128
1734602920.025574,1909,28,834,0,172,64
1734602920.0922012,1669,0,638,28,143,112
1734602920.1527977,1124,0,154,0,222,48
1734602920.2106256,845,0,0,0,290,67
1734602920.2718194,0,3247,230,0,436,31
1734602920.3229334,0,3335,234,0,364,14
1734602920.3914437,0,3345,240,0,355,43
1734602920.4394906,0,3337,245,320,208,401
1734602920.5042784,0,3343,243,0,0,197
1734602920.5714915,0,3345,255,241,463,570
1734602920.631299,0,3257,246,154,0,277
1734602920.6829276,0,3343,265,67,0,169
1734602920.743203,0,3349,270,288,0,348
1734602920.8578048,0,3355,281,201,50,279
1734602920.9304185,0,3351,290,0,959,9
1734602920.986877,1755,0,334,1059,1279,925
1734602921.0509968,4095,305,2289,301,551,333
1734602921.1076248,3850,304,2121,37,0,110
1734602921.1711943,3766,306,2113,186,258,266
1734602921.2315135,4095,369,2470,22,190,151
1734602921.2847605,4095,399,2480,15,37,125
1734602921.3520799,4095,0,2547,0,32,94
1734602921.4124587,3221,332,2191,0,17,123
1734602921.4764683,2861,262,1904,0,0,81
1734602921.5326164,2603,201,1645,0,110,592
1734602921.5928652,2334,132,1371,0,215,3863
1734602921.652928,2718,205,1705,0,58,3886
1734602921.71175,0,3258,418,0,64,2131
1734602921.7583475,0,3376,434,193,0,351
1734602921.8218277,0,3379,434,0,0,177
1734602921.8882365,0,3397,435,5,0,185
1734602921.9488878,0,3405,436,1,0,184
1734602922.0727606,0,3259,437,0,0,192
1734602922.1908178,0,3373,219,1686,0,1573
1734602922.3130217,0,3394,225,66,0,192
1734602922.3722923,0,3391,228,547,659,531
1734602922.4306765,339,1725,270,13,0,222
1734602922.5432045,3012,209,1723,103,261,260
1734602922.7188554,3743,339,2258,0,88,122
1734602922.7933273,3583,334,2239,38,96,149
1734602922.8388312,4095,0,2478,0,99,238
1734602922.9115806,3309,329,2206,0,155,387
1734602922.9719107,2970,287,2031,0,525,3859
1734602923.0923915,1521,60,893,0,11,3856
1734602923.153169,289,481,0,409,396,566
1734602923.2036598,0,3294,352,50,0,185
1734602923.2697768,0,3423,347,55,24,191
1734602923.332344,140,1370,258,16,0,146
1734602923.3884306,0,1215,65,16,88,65
1734602923.4525476,0,2559,202,192,0,240
1734602923.5024698,0,3389,313,272,0,326
1734602923.5714538,0,2957,235,254,89,320
1734602923.6250503,0,1973,107,1305,0,1219
1734602923.6920435,0,0,82,160,341,37
1734602923.7523081,879,1,896,0,97,0
1734602923.8125622,1499,131,1452,80,0,113
1734602923.8721375,1514,112,1382,176,138,185
1734602923.9282422,0,3200,173,0,48,0
