timestamp,Right_Heel,Right_Middle,Right_Top
1734603975.1349285,0,297,91
1734603975.1921916,1164,182,0
1734603975.2404778,927,235,0
1734603975.3135917,787,265,73
1734603975.373941,673,229,0
1734603975.4311724,544,145,0
1734603975.496158,0,0,29
1734603975.5553324,0,109,281
1734603975.6140423,0,439,202
1734603975.6751187,23,360,564
1734603975.733952,0,74,0
1734603975.7966526,0,39,0
1734603975.8532906,0,50,0
1734603975.9149146,1,75,0
1734603975.9736128,75,116,0
1734603976.0898697,42,86,0
1734603976.2157328,0,80,0
1734603976.334773,283,282,117
1734603976.3929262,0,137,0
1734603976.5771441,0,251,96
1734603976.6349854,0,432,272
1734603976.692114,161,0,0
1734603976.9239721,532,0,0
1734603976.9831862,3299,0,0
1734603977.0613604,332,810,531
1734603977.117288,1383,750,887
1734603977.168596,1487,311,0
1734603977.2452571,0,171,16
1734603977.2866023,3,177,23
1734603977.3605359,0,73,0
1734603977.4136906,0,74,0
1734603977.470282,315,0,0
1734603977.526247,772,0,0
1734603977.5953765,886,0,0
1734603977.654979,1049,0,0
1734603977.7053459,1435,64,27
1734603977.8361866,1614,466,0
1734603977.896705,734,534,0
1734603977.944187,697,0,0
1734603978.0168293,335,0,183
1734603978.0689042,284,0,185
1734603978.128581,360,0,298
1734603978.1946437,272,0,416
1734603978.3072677,801,655,0
1734603978.3747969,0,135,0
1734603978.4343061,0,105,0
1734603978.495009,16,145,0
1734603978.554984,667,712,498
1734603978.61306,765,801,598
1734603978.7316003,0,76,0
1734603978.7937586,0,64,0
1734603978.854891,0,105,0
1734603978.9103353,0,81,0
1734603979.0356905,0,101,0
1734603979.096737,3669,0,0
1734603979.1560295,2315,34,0
1734603979.2135503,0,0,3889
1734603979.2769086,1225,3114,192
1734603979.3332565,1609,1301,0
1734603979.39514,1163,108,1009
1734603979.454954,603,290,144
1734603979.514595,62,0,0
1734603979.5709786,188,0,329
1734603979.633483,416,0,596
1734603979.695167,58,154,407
1734603979.8139277,223,0,976
1734603979.8745174,495,477,0
1734603979.934318,867,538,0
1734603979.9931407,0,66,0
1734603980.0565631,0,89,0
1734603980.1160145,0,80,0
1734603980.1750774,0,51,0
1734603980.2324495,0,48,0
1734603980.2898057,0,177,3
1734603980.409317,0,176,7
1734603980.4753797,0,194,16
1734603980.5336354,0,195,183
1734603980.5951169,4095,0,0
1734603980.6398582,4095,0,0
1734603980.7051132,4095,0,0
1734603980.774244,3569,0,0
1734603980.8337173,2559,0,0
1734603980.8818195,159,180,0
1734603980.9563496,0,368,233
1734603981.015851,0,601,455
1734603981.074909,2347,1343,0
1734603981.1339815,2512,2591,74
1734603981.240778,1824,0,173
1734603981.3047607,40,253,80
1734603981.376015,0,85,0
1734603981.4355094,0,92,0
1734603981.4831548,0,105,0
1734603981.5545247,0,139,0
1734603981.614579,0,91,0
1734603981.6765542,0,126,0
1734603981.735432,660,0,0
1734603981.7964144,848,0,0
1734603981.8533654,827,0,0
1734603981.9123495,1039,0,0
1734603981.9748557,567,207,35
1734603982.0350988,1697,0,0
1734603982.0971208,1200,34,308
1734603982.2139437,928,1510,0
1734603982.2744594,1259,649,352
1734603982.3951938,1433,0,379
1734603982.4455683,1308,0,80
1734603982.4557335,690,3229,158
1734603982.509259,47,530,0
1734603982.5761244,164,203,3
1734603982.6275933,0,83,0
1734603982.6952443,0,109,0
1734603982.754802,0,94,0
1734603982.813963,0,141,0
1734603982.8700101,1872,0,0
1734603982.9357378,3280,0,0
1734603982.996658,4095,3376,172
1734603983.0586655,2172,16,0
1734603983.1117368,2409,3147,185
1734603983.1750886,4095,3302,78
1734603983.2357585,1759,0,275
1734603983.3548672,32,0,0
1734603983.4122984,0,0,0
1734603983.476365,0,0,0
1734603983.532702,0,0,87
1734603983.581361,0,0,132
1734603983.6472132,0,0,349
1734603983.7760525,966,3344,199
1734603983.8297384,720,2066,23
1734603983.8843822,0,609,0
1734603983.9574797,336,404,84
1734603984.014695,0,80,0
1734603984.0762196,730,757,551
1734603984.1306849,814,864,653
1734603984.1950252,70,144,0
1734603984.2543106,0,95,0
1734603984.3150227,0,104,0
1734603984.375649,17,176,0
1734603984.4330294,0,95,0
1734603984.436136,0,121,0
1734603984.495396,1723,0,0
1734603984.6053686,557,199,80
1734603984.6741714,2948,81,1937
1734603984.7358036,1594,1275,0
1734603984.7831635,868,352,0
1734603984.8550556,0,157,234
1734603984.9165895,1725,194,1510
1734603984.9744046,1247,641,0
1734603985.0865614,1492,470,0
1734603985.1564188,0,99,0
1734603985.2092426,211,301,125
1734603985.2728064,0,68,0
1734603985.33319,0,49,0
1734603985.4534702,0,62,0
1734603985.4556239,0,83,0
1734603985.5144315,0,80,0
1734603985.5703032,0,96,0
1734603985.6330786,0,166,5
1734603985.6938813,210,471,286
1734603985.7566185,0,464,304
1734603985.8142493,1311,0,0
1734603985.874849,3216,0,0
1734603985.935189,226,59,0
1734603985.9955015,389,281,0
1734603986.0532718,357,196,0
1734603986.1114547,331,114,0
1734603986.230832,128,273,0
1734603986.234756,528,0,478
1734603986.2853067,0,1869,2
1734603986.354049,0,1523,0
1734603986.4143977,0,3629,169
1734603986.4748282,0,117,0
1734603986.5242813,101,250,69
1734603986.588462,154,405,264
1734603986.6553714,26,84,0
1734603986.7145984,0,16,0
1734603986.7764041,75,156,57
1734603986.8356967,82,161,33
1734603986.8852172,0,58,0
1734603986.9555724,2094,0,0
1734603987.0052123,2018,0,0
1734603987.0738225,1776,0,0
1734603987.1326866,1126,220,89
1734603987.1826444,1222,179,0
1734603987.256341,563,193,121
1734603987.3139076,675,162,119
1734603987.3719676,672,0,148
1734603987.4337084,538,12,347
1734603987.4836273,491,0,25
1734603987.5561597,1984,318,1803
1734603987.6134193,1280,1019,272
1734603987.6744616,1234,0,0
1734603987.7363935,1017,3375,176
1734603987.7941952,160,62,0
1734603987.8412285,173,39,0
1734603987.9123046,163,35,0
1734603987.9747763,116,10,0
1734603988.0348551,95,29,0
1734603988.0835586,48,94,0
1734603988.1490014,0,235,102
1734603988.214023,0,495,368
1734603988.2755227,230,0,77
1734603988.3363793,4095,3562,83
1734603988.3958416,478,0,0
1734603988.455382,386,0,151
1734603988.5746639,220,0,9
1734603988.6260612,143,0,192
1734603988.695105,0,94,88
1734603988.745255,34,1833,0
1734603988.8154466,880,69,0
1734603988.8735268,336,183,0
1734603988.9943151,147,128,0
1734603989.054886,0,64,0
1734603989.1088915,0,99,0
1734603989.2361948,0,110,0
1734603989.293254,0,144,3
1734603989.3540905,0,368,219
1734603989.4136019,679,602,818
1734603989.476139,960,266,0
1734603989.526291,630,279,81
1734603989.6541522,651,282,83
1734603989.7004144,781,342,121
1734603989.7756538,606,239,0
1734603989.7762294,555,211,0
1734603989.8272378,521,302,0
1734603989.8853457,437,133,0
1734603989.9542544,48,0,0
1734603990.012647,1104,179,92
1734603990.072156,1124,0,194
1734603990.124508,1031,131,0
1734603990.194402,706,3435,171
1734603990.244189,0,0,0
1734603990.3671675,79,79,0
1734603990.426823,147,137,0
1734603990.496388,30,45,0
1734603990.560438,0,53,0
1734603990.6009927,0,49,0
1734603990.6733725,0,58,0
1734603990.7320065,3002,0,0
1734603990.8416822,3254,0,0
1734603990.905563,4003,0,0
1734603991.0256112,4095,0,0
1734603991.08276,1421,35,39
1734603991.1557193,897,483,208
1734603991.3351169,64,146,0
1734603991.3963344,176,158,157
1734603991.4564884,282,158,796
1734603991.5049183,3447,177,3707
1734603991.573556,1261,909,497
1734603991.6328204,0,64,0
1734603991.696626,0,85,0
1734603991.7548363,0,86,0
1734603991.7560709,0,80,0
1734603991.8719006,0,271,111
1734603991.934433,0,309,153
1734603991.9844236,0,430,294
1734603992.0552342,0,310,284
1734603992.1748788,1535,0,205
1734603992.2313392,1485,9,1360
1734603992.2817612,464,261,2289
1734603992.3447275,107,928,0
1734603992.4166925,543,0,263
1734603992.5277598,372,0,407
1734603992.5359886,1796,0,258
1734603992.5820646,829,1129,0
1734603992.7159677,682,2308,32
1734603992.7746484,0,219,0
1734603992.8939693,10,91,0
1734603992.9560773,73,158,0
1734603993.0163152,0,29,0
1734603993.0746436,0,85,0
1734603993.1338916,6,120,0
1734603993.1953814,0,93,0
1734603993.2555208,2747,0,0
1734603993.3754892,887,379,0
1734603993.433458,535,195,0
1734603993.4963617,284,86,0
1734603993.5464613,276,180,0
1734603993.6702743,0,787,288
1734603993.6762822,846,117,143
1734603993.7366023,656,0,0
1734603993.7954025,0,1703,3497
1734603993.8555295,909,1471,23
1734603993.904477,363,323,0
1734603993.9763231,128,139,0
1734603994.080621,48,64,0
1734603994.1481636,35,80,0
1734603994.2140117,0,59,0
1734603994.2753742,0,77,0
1734603994.3276985,55,155,0
1734603994.393517,2,218,48
1734603994.4567075,0,135,0
1734603994.5020971,0,178,11
1734603994.5749629,0,163,1
1734603994.635942,0,240,69
1734603994.6963456,1229,301,923
1734603994.8152852,837,109,0
1734603994.8705697,496,244,249
1734603994.9340646,614,128,0
1734603994.9955266,272,16,0
1734603995.055822,181,0,0
1734603995.1106727,2559,0,665
1734603995.1782873,859,1598,81
1734603995.2354565,769,1562,251
1734603995.2943861,287,277,0
1734603995.3542378,23,32,0
1734603995.4115732,38,72,0
1734603995.4763424,1023,1035,829
1734603995.5278757,0,48,0
1734603995.5860906,0,64,0
1734603995.6543114,16,99,0
1734603995.7132194,0,80,0
1734603995.7733426,0,46,0
1734603995.8277247,0,49,0
1734603995.8843074,0,211,46
1734603995.9565437,0,235,73
1734603996.0132644,0,272,104
1734603996.074952,0,298,128
1734603996.1960902,0,459,299
1734603996.2520943,0,193,222
1734603996.3148818,161,16,0
1734603996.37399,121,160,0
1734603996.676367,173,21,0
1734603996.7354016,2125,654,1867
1734603996.913298,2726,0,2426
1734603996.9759145,0,133,0
1734603997.034873,170,359,184
1734603997.0942414,731,919,726
1734603997.1533952,915,864,663
1734603997.2031183,0,86,0
1734603997.2754421,429,473,289
1734603997.3939462,0,174,3
1734603997.63647,2798,0,0
1734603997.8752003,1414,1886,137
1734603997.935631,608,206,273
1734603997.9920452,1420,2118,0
1734603998.0554888,0,125,15
1734603998.112428,11,208,0
1734603998.1699424,0,138,0
1734603998.236272,366,401,224
1734603998.2966533,2875,0,0
1734603998.4660485,914,592,0
1734603998.5251176,0,364,3847
1734603998.5884695,4095,3299,81
1734603998.6575854,4095,3413,0
1734603998.7162416,1207,459,756
1734603998.775219,855,1111,640
1734603998.836664,1381,0,208
1734603998.8965902,898,3284,202
1734603999.0066001,262,1277,0
1734603999.135474,178,188,0
1734603999.1838756,0,114,0
1734603999.374698,0,76,0
1734603999.4351313,0,73,0
1734603999.5564525,0,75,0
1734603999.6169999,0,78,0
1734603999.8545363,0,112,0
1734603999.857041,0,102,0
1734603999.9150772,907,0,0
1734603999.976551,3364,0,0
1734604000.034137,2745,0,0
1734604000.0894446,712,209,109
1734604000.2148795,0,166,395
1734604000.275313,0,522,390
1734604000.2768598,462,1587,87
1734604000.3358438,975,0,492
1734604000.38238,1049,482,0
1734604000.516196,0,158,0
1734604000.5735865,0,144,0
1734604000.6300993,0,125,0
1734604000.6950917,0,112,0
1734604000.871281,0,101,0
1734604000.9820192,104,182,9
1734604001.1744905,0,63,0
1734604001.3543248,0,310,134
1734604001.4158669,0,0,16
1734604001.4755635,738,0,0
1734604001.5278208,4095,0,0
1734604001.5905018,1422,1659,0
1734604001.6546285,0,3646,221
1734604001.7745512,1119,2043,0
1734604001.9542966,86,3451,192
1734604002.0706153,336,341,43
1734604002.1363506,144,125,0
1734604002.1927075,0,79,0
1734604002.2451391,0,51,0
1734604002.2995956,0,61,0
1734604002.4305742,0,64,0
1734604002.8531878,0,78,0
1734604002.9135783,0,115,0
1734604002.9709175,0,125,0
1734604003.272901,0,530,379
1734604003.5763257,1035,3351,164
1734604003.8729398,1008,117,134
1734604003.9356687,432,2817,62
1734604003.9866734,659,592,261
1734604004.110726,187,0,0
1734604004.4047296,368,109,0
1734604004.581114,404,122,0
1734604004.7048829,425,18,0
1734604004.887199,304,133,580
1734604005.0734,688,3504,160
1734604005.2545877,0,294,230
1734604005.313478,0,48,43
1734604005.604513,3542,0,0
1734604005.6763444,0,131,256
1734604005.7930434,0,272,368
1734604005.8547058,94,202,497
1734604005.9076028,939,173,16
